gene,effect_size,t_p,u_p,n_tnbc,n_other,t_q,u_q,pan_cancer_mean_effect,median_log2_rsem_tnbc_tumor
TMEM234,-0.09027343201079792,0.00019551342275039114,3.611014077319862e-05,25,1181,0.10233693358401684,0.058862812200384036,0.05470496498517822,7.527184162229448
LIX1L,-0.09742479953268987,0.0002806598805869454,7.108120264706637e-05,25,1181,0.12013151335680572,0.08497046964430315,-0.14626823618414792,9.00433634382663
BROX,-0.09716102859945024,0.00027206516128998836,1.06946815943644e-05,25,1181,0.12013151335680572,0.02739519080979258,0.12836504696495882,8.685034485352968
UBA2,0.17935364731026482,0.0002627706178234001,0.0003393253035340316,25,1181,0.12013151335680572,0.13227047864497218,-1.2009659307045943,11.51796996883042
NPPB,0.0771177241363807,0.000275046036899441,0.0006164596992526408,25,1181,0.12013151335680572,0.15142108037396032,0.10119037505435005,0.0
MYB,0.1303616198436513,0.00028138550895018906,0.0680011461341867,25,1181,0.12013151335680572,0.5040630637999594,-0.38398266637602746,7.883134528692387
PTP4A1,0.11377450023283625,0.00027085096997990146,0.0028358686684121876,25,1181,0.12013151335680572,0.22802673136008492,-0.26371598037241406,11.525342405798927
CEP135,0.08900584278287338,0.000288676798883667,0.014825225441542283,25,1181,0.12037822513448913,0.3360396220476421,-0.2569891577115959,7.802719152386782
CUL2,0.26617697661971507,0.0003041756124251797,0.00011746479394711926,25,1181,0.12395847514536129,0.08917319477215381,-0.6199446899584895,10.03480396268324
NALCN,-0.09014799858950988,0.0003218850785954744,0.0006885646590584273,25,1181,0.12547220313685764,0.16373246683254467,0.09615822689222227,5.647826516229995
CCDC148,0.0731968090224269,0.00031630147281209086,0.0008658398220404719,25,1181,0.12547220313685764,0.1662081822058303,0.03210331379318865,3.07329192196444
CEP44,0.1030259376114242,0.00035389685865987847,0.001653444984480643,25,1181,0.13217941505442937,0.19127691623691878,-0.09203235871723695,7.845790688281748
TNR,0.1059605088660597,0.0003612063653821337,0.0003961347412344777,25,1181,0.13217941505442937,0.1382421244606178,0.12484290986372883,1.10768617778952
PTP4A2,0.11882077954432571,0.00035206679681611716,0.0010980917737997847,25,1181,0.13217941505442937,0.17136150338478184,-0.32933839861460273,11.293900811238199
NEMP1,0.07279282533857917,0.0003820657000371177,0.0007604060064423159,25,1181,0.13701640134731116,0.16535959242124867,-0.013707441478430475,9.426090802909208
FRAT1,0.1069728882388459,0.0003955725428360311,0.0008030786790451113,25,1181,0.1390786522665269,0.16535959242124867,-0.10814301096188328,6.293201940885576
RIPK3,0.09146920067771899,0.00042171921339974273,0.003297324112365347,25,1181,0.13958647458021317,0.23121851223285197,-0.21992683469819604,6.204246694127649
HDHD3,0.1044943524635829,0.0004454694576634795,0.00042403194720506265,25,1181,0.13958647458021317,0.1382421244606178,-0.07865664099479298,8.946228449193264
FMC1,-0.07223643829562887,0.00041550943373097686,0.00010404827031268995,25,1181,0.13958647458021317,0.08884235880842112,-0.03804069926724621,7.99815390970889
GRIN2A,0.07332405759897635,0.0004670787170159383,0.0011207969526308282,25,1181,0.13958647458021317,0.17136150338478184,-0.10757810317559667,3.714554035798556
MTFR1L,-0.10838325549585132,0.00044162258392807047,5.241412639882193e-05,25,1181,0.13958647458021317,0.07229520772748277,-0.07594525691594267,9.572791710533409
TUBE1,0.24392809919888203,0.0004540305816254543,6.477942279309227e-05,25,1181,0.13958647458021317,0.08296855929306696,-0.5947200290760253,7.630022162283371
TECRL,-0.09656330614505784,0.00040657550504797583,0.0008115355603742059,25,1181,0.13958647458021317,0.16535959242124867,0.04449658324927979,0.0
DRD1,-0.06681139274497044,0.0004665585463208412,0.0003223886260036924,25,1181,0.13958647458021317,0.12846112117493796,0.11354016674236282,0.7565095003375766
EMC8,0.09889043361722716,0.0004575745656840437,0.00024391320318867585,25,1181,0.13958647458021317,0.11820561206422019,-0.1274491447361964,9.230388377622102
