gene,effect_size,t_p,u_p,n_tnbc,n_other,t_q,u_q,pan_cancer_mean_effect,median_log2_rsem_tnbc_tumor,median_log2_tumor,median_log2_normal_breast,log2fc_tumor_vs_normal,tumor_vs_normal_p,tumor_vs_normal_q,gtex_critical_tissue_max_tpm,safety_flag,Protein class,Subcellular main location,Cancer prognostics - Breast Invasive Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (validation)
TRIM35,-0.0760470107080144,0.0023906498362408,0.0004896455838112,25,1181,0.2315478457677107,0.1480718106386733,0.1082134712052904,8.543227562259611,8.432956485147775,8.930753553663983,-0.4977970685162081,4.708767458665522e-32,1.5695891528885075e-31,8.05077,moderate,"Enzymes, Predicted intracellular proteins",Nucleoplasm,unprognostic (2.97e-2),potential prognostic favorable (1.27e-5)
MTFR1L,-0.1083832554958513,0.000441622583928,5.241412639882193e-05,25,1181,0.1395864745802132,0.0722952077274827,-0.0759452569159426,9.572791710533409,9.678494859891,10.205926183816914,-0.5274313239259136,2.2809693825501956e-44,1.5206462550334638e-43,58.368,high,Predicted intracellular proteins,Mitochondria,unprognostic (1.83e-1),
BNIP3L,-0.0656026245555079,0.0006299427607115,0.000849736703596,25,1181,0.156881995032203,0.1662081822058303,0.1756027336078707,10.80943930708605,11.262107416029531,11.952830953911324,-0.6907235378817926,1.083023214999699e-27,3.0943520428562827e-27,103.283,high,"Cancer-related genes, Predicted membrane proteins, Transporters",Mitochondria,unprognostic (8.10e-2),unprognostic (2.10e-1)
RORA,-0.0845243699639582,0.0012771906461904,0.0008622370887472,25,1181,0.1940788599732259,0.1662081822058303,0.0157022388240935,8.197591476104666,8.303291701250451,9.246098182449884,-0.9428064811994332,2.5095239824085277e-30,7.7216122535647e-30,8.4334,moderate,"Disease related genes, Human disease related genes, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors",Nucleoli,unprognostic (2.16e-2),unprognostic (9.23e-3)
GJB3,-0.1002787534594278,0.0073434760483254,0.0011139402313257,25,1181,0.3125579295597886,0.1713615033847818,-0.0993312685738311,7.14077025012031,3.612611995371814,4.589813337446862,-0.9772013420750478,0.00028176638167712374,0.00037568850890283166,0.367185,low,"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters","Vesicles, Cell Junctions",potential prognostic favorable (7.25e-4),unprognostic (2.14e-1)
FBXL22,-0.0673722872921048,0.0085334329510927,0.0006712612636189,25,1181,0.3269508253120595,0.1626538610533903,-0.0242591260033122,4.686105890655856,4.713976189453741,5.759486890704137,-1.0455107012503957,4.425216849732467e-22,1.041227494054698e-21,4.17076,low,Predicted intracellular proteins,Cytosol,unprognostic (1.23e-1),unprognostic (4.98e-2)
LIX1L,-0.0974247995326898,0.0002806598805869,7.108120264706637e-05,25,1181,0.1201315133568057,0.0849704696443031,-0.1462682361841479,9.00433634382663,8.535124877401685,9.666660899630529,-1.1315360222288433,5.174709931873682e-47,5.174709931873682e-46,15.6651,moderate,Predicted intracellular proteins,Cytosol,unprognostic (5.05e-2),unprognostic (8.82e-2)
GPAT3,-0.072504716667115,9.773043066407705e-05,3.149325932447215e-05,25,1181,0.0761914935755463,0.056470563294711,0.0503229432643752,6.589962634862108,5.822763283669167,7.365953149175841,-1.5431898655066734,6.832368262468575e-40,3.4161841312342875e-39,18.7826,moderate,"Enzymes, Metabolic proteins, Predicted membrane proteins",,unprognostic (6.25e-2),
CCDC82,-0.0793582481551276,0.0001070138309289,8.69195564674099e-05,25,1181,0.0767546000955002,0.0888423588084211,0.1114231068217974,8.74200646070559,7.539338748945199,9.167351475463565,-1.6280127265183664,2.7878064568344155e-50,3.7170752757792206e-49,2.55297,low,Predicted intracellular proteins,Nucleoplasm,unprognostic (3.44e-1),unprognostic (7.76e-2)
NALCN,-0.0901479985895098,0.0003218850785954,0.0006885646590584,25,1181,0.1254722031368578,0.1637324668325446,0.0961582268922222,5.647826516229995,5.175923742063755,7.019870577966741,-1.8439468359029858,1.0738910250349905e-18,2.147782050069981e-18,1.18462,low,"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters","Microtubules, Primary cilium, Cytosol",unprognostic (1.20e-1),unprognostic (1.37e-1)
ABCC6,-0.0991820829480032,0.0015360760992252,0.0016223172024638,12,370,0.2028491922334084,0.1888946088141529,-0.0464818066367291,4.0456564862314135,5.379146130800119,7.475325643230512,-2.0961795124303935,3.5489371298497975e-26,9.463832346266126e-26,50.3289,high,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters",Plasma membrane,unprognostic (8.02e-2),unprognostic (3.70e-2)
SORBS1,-0.0598366605718127,0.0021998239134521,0.0014121657734327,25,1181,0.2280611187222296,0.1786793313689298,0.1082703530269984,9.47259104523804,9.636309948214944,13.026260334117943,-3.389950385902999,1.2833590025496442e-59,3.331616108320199e-58,89.2175,high,Predicted intracellular proteins,Focal adhesion sites,unprognostic (4.37e-3),unprognostic (1.04e-1)
GRIA4,-0.0635544865947354,0.0073138731056296,0.0013701944428757,25,1181,0.3125579295597886,0.1779825658970119,0.0330927575425614,1.498414201567349,2.2007240492164835,8.03402654006878,-5.833302490852296,5.412423831515659e-46,4.329939065212527e-45,0.042815,low,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Focal adhesion sites,,unprognostic (2.98e-1)
